"game","hand","hand_position","user_name","card_sequence","value_won","board","all_in_action_street","action_pre_flop","value_action_pre_flop","action_flop","value_action_flop","action_turn","value_action_turn","action_river","value_action_river","bb","street_ended","show_down","level"
"2655675429   ","202713458879 ",2,zloipitbull2212,"9c 9s",,,PRE_FLOP,CALL,4660,,,,,,,61,RIVER,true,5
"2655675429   ","202713458879 ",2,wmaduro,Ts Tc,10170,,PRE_FLOP,RAISE,4900,,,,,,,61,RIVER,true,5
"2655675429   ","202713495834 ",5,wmaduro,As Ah,6868,,PRE_FLOP,RAISE,10140,,,,,,,127,RIVER,true,5
"2655675429   ","202713495834 ",5,DeanoGH,Qd Qs,,,PRE_FLOP,CALL,4293,,,,,,,56,RIVER,true,5
"2655675429   ","202715216948 ",152,vhannevik,Qd Ad,,,PRE_FLOP,CALL,53603,,,,,,,20,RIVER,true,27
"2655675429   ","202715216948 ",152,wmaduro,Jc Jh,143521,,PRE_FLOP,RAISE,65823,,,,,,,13,RIVER,true,27
